Company,Ticker
Apple Inc. , AAPL
Microsoft Corporation , MSFT
"The Goldman Sachs Group, Inc. ", GS
The Boeing Company , BA
The Walt Disney Company , DIS
International Business Machines Corporation , IBM
Johnson & Johnson , JNJ
JPMorgan Chase & Co. , JPM
McDonald's Corporation , MCD
"Nike, Inc. ", NKE
"The Home Depot, Inc. ", HD
Visa Inc. , V
The Coca Cola Company , KO
American Express Company , AXP
3M Company , MMM
Verizon Communications Inc. , VZ
Procter & Gamble Company , PG
"The Travelers Companies, Inc. ", TRV
"Cisco Systems, Inc. ", CSCO
UnitedHealth Group Incorporated , UNH
